,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,Artist
42,231.5,21823.8,21829.2,226.2,21834.6,220.8,920.8,21818.5,236.9,21597.7,457.7,463.1,21592.3,689.2,21123.8,931.5,210.0,441.5,452.3,21603.1,215.4,446.9,694.6,3677.7,20903.1,1152.3,242.3,21813.1,3693.8,18361.5,21107.7,947.7,204.6,21581.5,473.8,3699.2,21118.5,936.9,21129.2,926.2,468.5,21586.9,1141.5,21166.9,888.5,910.0,3704.6,479.2,904.6,3925.4,430.8,21624.6,953.1,199.2,18146.2,3909.2,3004.6,2983.1,19072.3,263.8,18388.5,3666.9,883.1,258.5,269.2,3898.5,710.8,3
48,242.3,484.6,21570.8,236.9,21818.5,21576.2,479.2,220.8,204.6,21850.8,199.2,21807.7,247.7,215.4,21565.4,490.0,210.0,21861.5,193.8,188.5,183.1,226.2,1938.5,850.8,21204.6,231.5,1943.8,726.9,861.5,21210.0,845.4,436.2,646.2,3640.0,118.5,21662.3,393.1,1680.0,387.7,1933.1,21678.5,376.9,732.3,382.3,21673.1,398.5,463.1,21592.3,1513.1,721.5,21613.8,441.5,3629.2,18426.2,468.5,2907.7,1507.7,856.2,3618.5,18436.9,371.5,3645.4,640.8,430.8,2913.1,177.7,118.5,3
24,468.5,242.3,479.2,21576.2,463.1,1394.6,247.7,226.2,20655.4,1400.0,452.3,21823.8,231.5,473.8,931.5,1421.5,1426.9,20628.5,926.2,436.2,236.9,1583.1,253.1,21802.3,1163.1,409.2,441.5,21613.8,20466.9,1588.5,716.2,780.8,306.9,20639.2,1416.2,446.9,20886.9,1168.5,1631.5,301.5,20456.2,1599.2,156.2,21899.2,1604.6,21344.6,710.8,204.6,393.1,21662.3,1863.1,1410.8,21570.8,484.6,220.8,387.7,1383.8,20671.5,21904.6,150.8,199.2,21856.2,355.4,215.4,20440.0,1615.4,21350.0,2
41,1157.7,21360.8,694.6,926.2,21823.8,231.5,20892.3,1163.1,21123.8,931.5,463.1,3710.0,18571.5,3483.8,3699.2,3720.8,3715.4,3473.1,18582.3,1152.3,18350.8,3704.6,689.2,3489.2,3478.5,18576.9,172.3,21883.1,20886.9,1168.5,1141.5,21355.4,700.0,18587.7,3467.7,1389.2,1114.6,236.9,3731.5,468.5,936.9,920.8,1136.2,3246.9,18808.5,1394.6,18555.4,3500.0,21344.6,710.8,457.7,226.2,21829.2,3693.8,18361.5,3440.8,220.8,915.4,3736.9,20881.5,1173.8,1400.0,705.4,473.8,3446.2,1405.4,3451.5,3
22,511.5,516.9,21710.8,344.6,339.2,506.2,21549.2,21883.1,172.3,333.8,21705.4,350.0,21888.5,166.9,678.5,1518.5,355.4,1540.0,1523.8,21893.8,161.5,683.8,490.0,21726.9,328.5,360.8,21694.6,500.8,1513.1,689.2,366.2,495.4,21560.0,21204.6,850.8,936.9,522.3,371.5,673.1,20520.8,1534.6,527.7,21527.7,1529.2,177.7,624.6,306.9,156.2,3397.7,18657.7,861.5,21193.8,3386.9,18668.5,21592.3,463.1,20547.7,1507.7,21759.2,296.2,20370.0,1685.4,21183.1,872.3,866.9,20348.5,1706.9,2
35,123.8,134.6,118.5,140.0,21899.2,156.2,129.2,640.8,312.3,21743.1,161.5,21893.8,166.9,468.5,635.4,21420.0,473.8,339.2,172.3,21883.1,21958.5,96.9,177.7,21877.7,91.5,328.5,21726.9,333.8,21721.5,500.8,150.8,21748.5,306.9,21732.3,323.1,113.1,21565.4,490.0,21662.3,393.1,317.7,398.5,183.1,21872.3,21576.2,479.2,463.1,21953.1,102.3,86.2,446.9,506.2,21549.2,403.8,958.5,963.8,452.3,193.8,204.6,21850.8,107.7,21705.4,350.0,791.5,21980.0,409.2,21759.2,2
82,506.2,511.5,516.9,21538.5,490.0,21565.4,522.3,495.4,479.2,500.8,21554.6,2056.9,2062.3,2040.8,20014.6,732.3,20009.2,2046.2,743.1,2019.2,20036.2,436.2,21619.2,463.1,581.5,2493.1,2476.9,21597.7,457.7,129.2,753.8,586.9,21468.5,21586.9,468.5,2051.5,19540.8,2514.6,2293.8,19761.5,2536.2,446.9,19120.8,2934.6,20563.8,1491.5,527.7,19476.2,2579.2,484.6,452.3,21603.1,19513.8,2541.5,2444.6,2498.5,2013.8,2035.4,20020.0,1475.4,19535.4,2520.0,2503.8,764.6,21290.8,21522.3,533.1,5
135,166.9,21888.5,172.3,161.5,506.2,21543.8,511.5,21554.6,500.8,91.5,21716.2,339.2,177.7,21877.7,21969.2,86.2,543.8,678.5,21376.9,549.2,333.8,183.1,21382.3,673.1,21533.1,522.3,700.0,495.4,21565.4,490.0,21538.5,516.9,538.5,21866.9,188.5,533.1,21522.3,21333.8,721.5,554.6,710.8,156.2,705.4,683.8,21371.5,360.8,21328.5,726.9,1680.0,694.6,150.8,328.5,1674.6,716.2,732.3,355.4,21495.4,560.0,366.2,350.0,21705.4,656.9,21398.5,667.7,80.8,193.8,96.9,8
11,21586.9,468.5,231.5,463.1,236.9,700.0,457.7,931.5,21123.8,689.2,705.4,694.6,242.3,936.9,452.3,21603.1,350.0,484.6,118.5,21834.6,220.8,113.1,21942.3,683.8,247.7,522.3,21533.1,716.2,21339.2,21640.8,414.6,21134.6,920.8,21129.2,926.2,473.8,21581.5,21840.0,215.4,210.0,258.5,21791.5,263.8,226.2,21829.2,549.2,1163.1,1152.3,20903.1,436.2,21565.4,490.0,495.4,1168.5,915.4,21140.0,22001.5,290.8,527.7,269.2,21786.2,21888.5,166.9,21576.2,479.2,1157.7,20897.7,1
107,236.9,21813.1,242.3,231.5,479.2,21576.2,21581.5,473.8,220.8,226.2,468.5,247.7,484.6,4916.2,4910.8,17144.6,215.4,21845.4,210.0,17133.8,4921.5,4905.4,204.6,21850.8,16999.2,5056.2,4975.4,17080.0,5061.5,4970.0,4980.8,5239.2,16816.2,4959.2,16810.8,5244.6,4964.6,4996.9,5083.1,199.2,5050.8,5002.3,4900.0,21608.5,446.9,5233.8,5223.1,16832.3,5228.5,17128.5,4926.9,716.2,21339.2,5217.7,16837.7,5007.7,17047.7,16977.7,5077.7,193.8,21861.5,4991.5,17063.8,4953.8,253.1,16934.6,5120.8,6
