,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,Artist
11,0.069659864,0.534058957,0.789478458,1.044897959,1.30031746,1.555736961,2.066575964,2.507755102,2.809614512,3.088253968,3.575873016,3.831292517,4.086712018,4.59755102,4.852970522,5.108390023,5.363809524,5.619229025,5.874648526,6.130068027,6.385487528,6.873106576,7.151746032,7.639365079,7.89478458,8.150204082,8.405623583,8.661043084,9.171882086,9.427301587,9.682721088,10.14712018,10.44897959,4.752601581,4.881050273,5.01297055,1
12,0.069659864,0.371519274,0.766258503,1.021678005,1.34675737,1.880816327,2.136235828,2.484535147,2.879274376,3.157913832,3.599092971,3.854512472,4.156371882,4.435011338,4.760090703,5.154829932,5.456689342,5.897868481,6.153287982,6.431927438,6.733786848,7.035646259,7.314285714,7.616145125,8.196643991,8.730702948,9.009342404,9.311201814,9.659501134,10.00780045,10.30965986,4.511866152,4.63380848,4.759046547,4.887669427,5.019768601,7
13,0.069659864,0.325079365,0.673378685,0.975238095,1.323537415,1.857596372,2.159455782,2.484535147,2.94893424,3.274013605,3.599092971,3.900952381,4.249251701,4.574331066,4.899410431,5.224489796,5.526349206,5.874648526,6.199727891,6.524807256,6.826666667,7.174965986,7.500045351,7.825124717,8.126984127,8.382403628,8.637823129,8.962902494,9.311201814,9.58984127,9.93814059,10.35609977,4.791802415,4.921310588,5.054318982,5.190922198,8
14,0.069659864,0.394739229,0.99845805,1.602176871,2.043356009,2.670294785,3.088253968,3.390113379,3.9938322,4.272471655,4.574331066,6.965986395,7.453605442,8.150204082,8.637823129,9.055782313,9.357641723,9.659501134,9.93814059,2.65719924,2.729015436,2.80277261,2.878523221,2.956321146,3.036221717,3.118281764,3.202559649,3.289115315,3.378010324,3.4693079,3.563072978,3.659372248,3.758274201,3.859849179,3.964169427,4.071309142,2
15,0.069659864,0.34829932,0.626938776,0.975238095,1.30031746,1.64861678,1.904036281,2.159455782,2.438095238,2.94893424,3.227573696,3.482993197,3.738412698,4.040272109,4.365351474,4.829750567,5.085170068,5.340589569,5.619229025,6.130068027,6.408707483,6.664126984,6.919546485,7.198185941,7.453605442,7.732244898,7.987664399,8.498503401,8.753922902,9.287981859,9.566621315,10.07746032,4.346691181,4.464169321,4.584822546,4.708736669,4
16,0.069659864,0.371519274,0.65015873,0.975238095,1.277097506,1.578956916,1.880816327,2.182675737,2.484535147,2.809614512,3.111473923,3.413333333,3.738412698,4.040272109,4.342131519,4.64399093,4.969070295,5.270929705,5.572789116,5.874648526,6.176507937,6.478367347,6.780226757,7.082086168,7.407165533,7.709024943,8.010884354,8.312743764,8.614603175,8.916462585,9.218321995,9.520181406,9.822040816,10.12390023,4.768374088,4.897249064,3
17,0.069659864,0.441179138,0.835918367,1.207437642,1.532517007,1.880816327,2.229115646,2.577414966,2.925714286,3.320453515,3.668752834,4.017052154,4.365351474,4.713650794,5.061950113,5.410249433,5.781768707,6.176507937,6.478367347,6.965986395,7.383945578,7.732244898,8.080544218,8.452063492,8.962902494,9.334421769,9.682721088,10.00780045,3.980986701,4.088580936,4.199083124,4.312571857,4.429127853,4.548834011,4.671775471,4.798039673,8
18,0.069659864,0.580498866,2.020136054,2.507755102,2.925714286,3.343673469,3.9938322,4.458231293,4.876190476,5.688888889,6.315827664,6.571247166,7.012426304,7.430385488,8.498503401,8.777142857,9.357641723,9.822040816,10.21678005,10.47219955,3.187534473,3.273684054,3.362162001,3.453031244,3.546356413,3.642203884,3.740641826,3.841740254,3.945571072,4.052208128,4.161727266,4.274206382,4.389725473,4.508366702,4.630214451,4.755355382,3
19,0.069659864,0.487619048,0.812698413,1.393197279,1.95047619,2.252335601,2.554195011,3.134693878,3.738412698,4.179591837,4.481451247,4.922630385,5.201269841,5.758548753,6.083628118,6.385487528,6.664126984,6.965986395,7.267845805,7.569705215,7.848344671,8.150204082,8.452063492,8.89324263,9.24154195,9.636281179,10.19356009,3.926724275,4.032851958,4.141847957,4.253789794,4.368757086,4.486831602,4.60809732,4.732640491,4.860549694,1
20,0.069659864,0.371519274,0.673378685,1.021678005,1.323537415,1.64861678,1.973696145,2.29877551,2.600634921,2.902494331,3.204353741,3.459773243,3.877732426,4.133151927,4.527891156,4.829750567,5.178049887,5.479909297,5.781768707,6.106848073,6.431927438,6.757006803,7.082086168,7.407165533,7.709024943,8.010884354,8.312743764,8.568163265,8.986122449,9.311201814,9.636281179,9.961360544,4.449653735,4.569914647,4.693425854,4.820275201,5
